מספר חולדה,קבוצה,BDNF_CA31,BDNF_CA32,BDNF_CA33,BDNF_CA34,BDNF_CA3.mean(),BDNF_CA11,BDNF_CA12,BDNF_CA13,BDNF_CA14,BDNF_CA1.mean(),TPH21,TPH22,TPH23,TPH2.mean(),Oxy1,Oxy2,Oxy3,Oxy4,Oxy5,Oxy6,Oxy.mean(),BDNF_RAPHE1,BDNF_RAPHE2,BDNF_RAPHE3,BDNF_RAPHE.mean(),GR1,GR2,GR3,GR4,GR5,GR6,GR.mean(),DG_GOLGI1,DG_GOLGI2,DG_GOLGI3,DG_GOLGI4,DG_GOLGI5,DG_GOLGI6,DG_GOLGI7,DG_GOLGI8,DG_GOLGI9,DG_GOLGI10,DG_GOLGI11,DG_GOLGI.mean(),BDNF_PVN1,BDNF_PVN2,BDNF_PVN3,BDNF_PVN4,BDNF_PVN5,BDNF_PVN6,BDNF_PVN.mean()
1,Saline,74.0,,,,74.0,90.0,,,,90.0,11420.23103,17723.03551,15929.68954,15024.318693333335,,,,,,,,535.0,573.0,620.0,576.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Saline,83.0,88.0,,,85.5,87.0,88.0,,,87.5,14438.17405,18712.66635,,16575.4202,3479.138168,4076.693042,4497.945514,5274.763633,,,4332.1350892499995,899.0,905.0,881.0,895.0,356.0,422.0,424.0,422.0,,,406.0,,,,,,,,,,,,,350.0,425.0,389.0,390.0,355.0,,381.8
3,MDMA 3t/w,83.0,,,,83.0,92.0,,,,92.0,19534.84056,18875.92607,,19205.383315,2333.70244,1830.215571,4719.871498,4101.657459,,,3246.361742,900.0,1067.0,,983.5,511.0,449.0,487.0,,,,482.3333333333333,,,,,,,,,,,,,642.0,703.0,545.0,705.0,,,648.75
4,MDMA 3t/w,80.0,75.0,,,77.5,97.0,107.0,,,102.0,25371.0373,20342.3379,26382.8151,24032.06343333333,6991.737723,8465.354638,10582.7363,7039.587355,9973.017004,,8610.486604000002,1091.0,1068.0,,1079.5,454.0,384.0,387.0,380.0,439.0,,408.8,,,,,,,,,,,,,400.0,522.0,460.0,,,,460.6666666666667
6,Saline,,,,,,,,,,,,,,,5568.845499,8012.209519,,,,,6790.527509,,,,,478.0,468.0,,,,,473.0,,,,,,,,,,,,,293.0,390.0,,,,,341.5
12,MDMA 3t/w,102.0,108.0,101.0,112.0,105.75,113.0,111.0,128.0,118.0,117.5,12409.30061,12943.09871,15260.3324,13537.577239999999,5913.302841,7764.477395,5834.169552,9119.697336,5074.941152,6187.970344,6649.093103333333,1152.0,1062.0,1148.0,1120.6666666666667,509.0,509.0,459.0,462.0,539.0,,495.6,,,,,,,,,,,,,404.0,495.0,396.0,470.0,469.0,423.0,442.8333333333333
43,Saline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1173.7,882.7,1051.4,798.8,769.3,677.4,934.0,,,,,898.1857142857143,,,,,,,
44,Saline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936.6,1006.1,731.3,774.9,1335.7,1079.7,,,,,,977.3833333333332,,,,,,,
47,Saline,80.0,72.0,80.0,,77.33333333333333,80.0,78.0,91.0,,83.0,7721.761498,8451.241638,8044.88083,8072.627988666667,629.1884299,552.6014375,1346.85541,1958.313882,2013.006961,,1299.99322408,781.0,786.0,,783.5,424.0,422.0,429.0,397.0,491.0,394.0,426.1666666666667,,,,,,,,,,,,,283.0,240.0,220.0,,,,247.66666666666666
48,Saline,67.0,66.0,80.0,,71.0,94.0,80.0,96.0,,90.0,9835.056794,8016.008041,8439.014676,8763.359837000002,7586.690797,6138.855282,,,,,6862.7730395,603.0,,,603.0,581.0,438.0,425.0,595.0,543.0,561.0,523.8333333333334,,,,,,,,,,,,,412.0,470.0,423.0,,,,435.0
56,MDMA 3t/w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920.0,1114.058,863.2,949.1,960.8,1087.2,,,,,,982.393,,,,,,,
57,MDMA 3t/w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052.0,1570.6,998.9,583.6,1042.5,788.9,1069.5,1766.3,997.9,650.6,1137.4,1059.8363636363638,,,,,,,
58,MDMA 3t/w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510.3,897.7,1507.5,1320.5,,,,,,,,1309.0,,,,,,,
60,MDMA 3t/w,83.0,90.0,85.0,,86.0,110.0,113.0,96.0,93.0,103.0,13857.70413,18715.57285,,16286.638490000001,3315.54393,4803.912352,2936.793717,4036.457228,2492.4215,3133.526946,3453.1092788333335,1020.0,,,1020.0,308.0,320.0,301.0,390.0,403.0,418.0,356.6666666666667,,,,,,,,,,,,,495.0,470.0,525.0,562.0,,,513.0
